,Russian,English
0,1. **Тартар из оленины с облепиховым соусом и кедровыми орешками**,Venison tartare with sea buckthorn sauce and pine nuts
1,2. **Карпаччо из мускуна с малиновым уксусом и листьями шпината**,Muksun carpaccio with raspberry vinegar and spinach leaves
2,3. **Граавилохи из нерки с укропным песто и хрустящими ржаными гренками**,Gravlax-style sockeye salmon with dill pesto and crispy rye toasts
3,4. **Сельдь под шубой в мини-порциях с золотистой свеклой**,Mini herring under a fur coat with golden beets
4,5. **Копченый угорь с яблочным пюре и хреновым кремом**,Smoked eel with apple purée and horseradish cream
5,6. **Парфе из печени утки с вишневым конфитюром и грецким орехом**,Duck liver parfait with cherry confit and walnuts
6,"7. **Сало, замаринованное в меду с черным перцем и можжевельником**",Lard cured in honey with black pepper and juniper
7,8. **Осетрина холодного копчения с соусом из морошки**,Cold-smoked sturgeon with cloudberry sauce
8,9. **Сырный мусс с грушевым чатни и гречишными хлопьями**,Cheese mousse with pear chutney and buckwheat flakes
9,10. **Икра сига с блинами из гречневой муки**,Whitefish caviar with buckwheat blini
10,"11. **Салат с копченым гусем, рукколой и гранатовой заправкой**","Salad with smoked goose, arugula, and pomegranate dressing"
11,"12. **Тёплый салат с утиной грудкой, цикорием и апельсиновым винегретом**","Warm salad with duck breast, chicory, and orange vinaigrette"
12,"13. **Свекольный салат с козьим сыром, фундуком и бальзамической глазурью**","Beetroot salad with goat cheese, hazelnuts, and balsamic glaze"
13,"14. **Салат «Тайга» с копчёной олениной, морошкой и кедровыми орешками**","""Taiga"" salad with smoked venison, cloudberries, and pine nuts"
14,"15. **Салат из запечённой тыквы с киноа, фетой и тыквенным маслом**","Roasted pumpkin salad with quinoa, feta, and pumpkin seed oil"
15,"16. **Овощной салат с фермерскими томатами, моцареллой и базиликовым песто**","Vegetable salad with heirloom tomatoes, mozzarella, and basil pesto"
16,"17. **Салат из корня сельдерея с яблоком, горчичным соусом и изюмом**","Celery root salad with apple, mustard dressing, and raisins"
17,"18. **Зеленый салат с авокадо, грейпфрутом и лимонным цитроном**","Green salad with avocado, grapefruit, and lemon citron"
18,"19. **Салат с обжаренными шампиньонами, пармезаном и трюфельным маслом**","Salad with sautéed mushrooms, Parmesan, and truffle oil"
19,"20. **Сагудай из омуля с кинзой, луком и острым перцем**","Omul sagudai (marinated fish) with cilantro, onion, and chili"
20,21. **Уха из трёх видов рыбы с шафраном и сливками**,Triple-fish soup with saffron and cream
21,"22. **Солянка сборная с мясом косули, солёными огурцами и маслинами**","Mixed meat solyanka with roe deer, pickles, and olives"
22,23. **Крем-суп из белых грибов с трюфельной пеной**,Porcini mushroom cream soup with truffle foam
23,24. **Холодный гаспачо из арбуза с фетой и мятой**,Chilled watermelon gazpacho with feta and mint
24,25. **Суп из чечевицы с копчёными рёбрышками и чёрным хлебом**,Lentil soup with smoked ribs and black bread
25,26. **Куриный бульон с пельменями из перепелки и укропом**,Chicken broth with quail dumplings and dill
