,Russian,English
0,Тартар из оленины с облепиховым соусом и кедровыми орешками,Venison tartare with sea buckthorn sauce and pine nuts
1,Карпаччо из мускуна с малиновым уксусом и листьями шпината,Muksun carpaccio with raspberry vinegar and spinach leaves
2,Строганина из нерки с укропным песто и хрустящими ржаными гренками,Sockeye salmon stroganina with dill pesto and crispy rye toasts
3,Сельдь под шубой со свеклой, Herrign salad with beets
4,Копченый угорь с яблочным пюре и хреновым кремом,Smoked eel with apple purée and horseradish cream
5,Парфе из печени утки с вишневым конфитюром и грецким орехом,Duck liver parfait with cherry confit and walnuts
6,"Сало, замаринованное в меду с черным перцем и можжевельником","Lard marinated with honey, black pepper and juniper"
7,Осетрина холодного копчения с соусом из морошки,Cold-smoked sturgeon with cloudberry sauce
8,Сырный мусс с грушевым чатни и гречишными хлопьями,Cheese mousse with pear chutney and buckwheat flakes
9,Икра сига с блинами из гречневой муки,Whitefish caviar with buckwheat pancakes
10,"Салат с копченым гусем, рукколой и гранатовой заправкой","Salad with smoked goose, arugula, and pomegranate dressing"
11,"Тёплый салат с утиной грудкой и апельсиновым винегретом","Warm salad with duck breast and orange vinaigrette"
12,"Свекольный салат с козьим сыром, фундуком и бальзамической глазурью","Beetroot salad with goat cheese, hazelnuts, and balsamic glaze"
13,"Салат «Тайга» с копчёной олениной, морошкой и кедровыми орешками","""Taiga"" salad with smoked venison, cloudberries, and pine nuts"
14,"Салат из запечённой тыквы с киноа, фетой и тыквенным маслом","Roasted pumpkin salad with quinoa, feta, and pumpkin seed oil"
15,"Овощной салат с фермерскими томатами, моцареллой и базиликовым песто","Vegetable salad with tomatoes, mozzarella and basil pesto"
16,"Салат из корня сельдерея с яблоком, горчичным соусом и изюмом","Celery root salad with apple, mustard dressing, and raisins"
17,"Зеленый салат с авокадо, грейпфрутом и лимонным цитроном","Green salad with avocado, grapefruit, and lemon citron"
18,"Салат с обжаренными шампиньонами, пармезаном и трюфельным маслом","Salad with sautéed mushrooms, parmesan cheese, and truffle oil"
19,"Сагудай из омуля с кинзой, луком и острым перцем","Omul sagudai with cilantro, onion, and chili"
20,Уха из трёх видов рыбы с шафраном и сливками,Fish soup with saffron and cream
21,"Солянка сборная с мясом косули, солёными огурцами и маслинами", Roe deer solyanka soup with pickles and olives
22,Крем-суп из белых грибов с трюфельной пеной,Porcini mushroom cream soup with truffle foam
23,Холодный гаспачо из арбуза с фетой и мятой, Watermelon gazpacho with feta and mint
24,Суп из чечевицы с копчёными рёбрышками и чёрным хлебом,Lentil soup with smoked ribs and black bread
25,Куриный бульон с пельменями из перепелки и укропом,Chicken broth with quail dumplings and dill
26,Французский луковый суп с коньяком и сырной корочкой,French onion soup with cognac and cheese crust
27,Тыквенный суп-пюре с имбирём и кокосовым молоком,Pumpkin purée soup with ginger and coconut milk
28,Щавелевый суп с яйцом-пашот и сметаной,Sorrel soup with poached egg and sour cream
29,Мисо-суп с грибами шиитаке и тофу,Miso soup with shiitake mushrooms and tofu
30,Стейк рибай из якутской говядины с соусом из красного вина,Ribeye steak from Yakutian beef with red wine sauce
31,Утка по-пекински с тонкими блинчиками и сливовым соусом,Peking duck with thin pancakes and plum sauce
32,Филе сибаса на коже с лимонно-укропным соусом,Sea bass fillet with crispy skin and lemon-dill sauce
33,Кролик в сливочном соусе с розмарином и молодой морковью,Rabbit in creamy rosemary sauce with baby carrots
34,Каре ягнёнка с чесночным пюре и баклажанной икрой,Lamb rack with garlic purée and eggplant caviar
35,Гуляш из зубра с паприкой и домашней лапшой,Bison stew with paprika and homemade noodles
36,Жаркое из кабана с картофелем и луковым мармеладом,Wild boar roast with potatoes and onion marmalade
37,Фазан в винном соусе с клюквой и лесными грибами,Pheasant in wine sauce with cranberries and wild mushrooms
38,Лосось на кедровой доске с медовым глазуром,Salmon on cedar plank with honey glaze
39,"Телячьи щёчки, томлёные в красном вине с пюре из сельдерея",Veal cheeks braised in red wine with celery purée
40,Картофельное пюре с трюфельным маслом,Mashed potatoes with truffle oil
41,Греча с луком и шампиньонами,Buckwheat with onions and mushrooms
42,Запечённая свёкла с козьим сыром и грецким орехом,Roasted beetroot with goat cheese and walnuts
43,"Тыква, запечённая с кленовым сиропом",Pumpkin baked with maple syrup
44,Ризотто с белыми грибами и пармезаном,Porcini mushroom risotto with parmesan cheese
45,Шоколадный фондан с малиновым сорбетом,Chocolate fondant with raspberry sorbet
46,Медовик с грецкими орехами и сгущёнкой,Honey cake with walnuts and condensed milk
47,Черничный чизкейк с ванильным соусом,Blueberry cheesecake with vanilla sauce
48,Клюквенный пай с ванильным мороженым,Cranberry pie with vanilla ice cream
49,Эклер с заварным кремом и карамелью,Éclair with custard and caramel
51,Утка в медовой глазури с грушевым пюре и розмарином,Duck in honey glaze with pear purée and rosemary.
52,Кролик в вишневом соусе с артишоками и молодым картофелем,Rabbit in cherry sauce with artichokes and baby potatoes.
53,Осетрина на пару с лимонным маслом и укропом,Steamed sturgeon with lemon butter and dill.
54,Копчёный угорь с соусом из белого вина и каперсов,Smoked eel with white wine sauce and capers.
55,Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella.
56,Крем-суп из тыквы с имбирём и кокосовым молоком,Pumpkin crème soup with ginger and coconut milk.
57,Карпаччо из оленины с пармезаном и рукколой,Venison carpaccio with parmesan and arugula.
58,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame.
59,Лосось в корочке из миндаля с цитрусовым соусом,Salmon in almond crust with citrus sauce.
60,Морской окунь с томатами черри и оливками,Sea bass with cherry tomatoes and olives.
61,Фаршированные кабачки с козьим сыром и грецким орехом,Stuffed zucchini with goat cheese and walnuts.
62,Говяжий строганов с грибами и сметаной,Beef Stroganoff with mushrooms and sour cream.
63,Ветчина в медово-горчичном соусе с запечёнными яблоками,Ham in honey-mustard sauce with baked apples.
64,Куриная грудка с чесночным маслом и тимьяном,Chicken breast with garlic butter and thyme.
65,Телятина в винном соусе с трюфельным маслом,Veal in wine sauce with truffle oil.
66,Лазанья с баклажанами и сыром рикотта,Eggplant and ricotta lasagna.
67,Ризотто с белыми грибами и пармезаном,Risotto with porcini mushrooms and parmesan.
68,Паста с морепродуктами в томатном соусе,Pasta with seafood in tomato sauce.
69,Спагетти карбонара с панчеттой и яичным желтком,Spaghetti carbonara with pancetta and egg yolk.
70,Пенне с артишоками и вялеными томатами,Penne with artichokes and dried tomatoes.
71,Гречневая каша с грибами и луковым конфи,Buckwheat porridge with mushrooms and onion confit.
72,Плов с бараниной и курагой,Pilaf with lamb and dried apricots.
73,Пельмени с уткой и черносливом,Duck and prune dumplings.
74,Вареники с творогом и вишней,Cottage cheese and cherry dumplings.
75,Блины с красной икрой и сметаной,Pancakes with red caviar and sour cream.
76,Сырники с малиновым соусом,Cottage cheese pancakes with raspberry sauce.
77,Чизкейк с карамелью и морской солью,Cheesecake with caramel and sea salt.
78,Шоколадный фондан с малиной,Chocolate fondant with raspberry.
79,Тирамису с амаретто и какао,Tiramisu with amaretto and cocoa.
80,Крем-брюле с ванилью и свежими ягодами,Crème brûlée with vanilla and fresh berries.
81,Мороженое с фисташками и кленовым сиропом,Ice cream with pistachios and maple syrup.
82,Сорбет из лимона и мяты,Lemon and mint sorbet.
83,Глинтвейн с апельсином и корицей,Mulled wine with orange and cinnamon.
84,Безалкогольный мохито с лаймом и мятой,Non-alcoholic mojito with lime and mint.
85,Чай с жасмином и лепестками розы,Jasmine tea with rose petals.
86,Кофе с кардамоном и корицей,Coffee with cardamom and cinnamon.
87,Капучино с кокосовым молоком и карамелью,Cappuccino with coconut milk and caramel.
88,Смузи из манго и ананаса,Mango and pineapple smoothie.
89,Фреш из апельсина и моркови,Orange and carrot fresh juice.
90,Лимонад с мятой и лаймом,Lemonade with mint and lime.
91,Тосты с авокадо и кунжутом,Avocado toast with sesame.
92,Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil.
93,Салат Цезарь с курицей и пармезаном,Caesar salad with chicken and parmesan.
94,Греческий салат с фетой и оливками,Greek salad with feta and olives.
95,"Салат с рукколой, грушей и орехами",Arugula salad with pear and nuts.
96,"Салат с креветками, авокадо и грейпфрутом",Shrimp salad with avocado and grapefruit.
97,"Салат с курицей, ананасом и сыром",Chicken salad with pineapple and cheese.
98,"Салат с тунцом, яйцом и огурцом",Tuna salad with egg and cucumber.
99,Салат с копчёным лососем и спаржей,Smoked salmon salad with asparagus.
100,"Салат с беконом, яйцом и сыром","Bacon, egg and cheese salad."
101,Суп из чечевицы с копчёностями,Lentil soup with smoked meats.
102,Солянка с колбасой и копчёностями,Solyanka with sausage and smoked meats.
103,Суп с фрикадельками и рисом,Meatball soup with rice.
104,Суп с курицей и вермишелью,Chicken noodle soup.
105,Суп с грибами и перловкой,Mushroom and barley soup.
106,Холодец с хреном и горчицей,Meat jelly with horseradish and mustard.
107,Жаркое из свинины с картофелем и морковью,Pork roast with potatoes and carrots.
108,Гуляш из говядины с картофельным пюре,Beef goulash with mashed potatoes.
109,Курица в сливочном соусе с грибами,Chicken in cream sauce with mushrooms.
110,Индейка с клюквенным соусом и брокколи,Turkey with cranberry sauce and broccoli.
111,Утиная грудка с апельсиновым соусом и картофелем,Duck breast with orange sauce and potatoes.
112,Ягнёнок в травах с запечёнными овощами,Herb-crusted lamb with roasted vegetables.
113,Телячьи отбивные с соусом демиглас,Veal chops with demi-glace sauce.
114,Свиные рёбрышки с барбекю соусом,Pork ribs with barbecue sauce.
116,Бифштекс с луковым кольцом и картофелем фри,Beefsteak with onion rings and fries.
117,Гамбургер с беконом и сыром чеддер,Hamburger with bacon and cheddar cheese.
118,Чизбургер с грибами и соусом BBQ,Cheeseburger with mushrooms and BBQ sauce.
119,Сэндвич с индейкой и авокадо,Turkey and avocado sandwich.
120,Бургер с лососем и соусом тар-тар,Salmon burger with tartar sauce.
121,Пицца с ветчиной и грибами,Ham and mushroom pizza.
122,Пицца с морепродуктами и сыром,Seafood and cheese pizza.
123,Пицца с четырьмя сырами,Four-cheese pizza.
124,Пицца с пепперони и оливками,Pepperoni and olive pizza.
125,Пицца с овощами и тофу,Vegetable and tofu pizza.
126,Пирог с капустой и яйцом,Cabbage and egg pie.
127,Пирог с яблоками и корицей,Apple and cinnamon pie.
128,Пирог с вишней и творогом,Cherry and cottage cheese pie.
129,Пирог с курицей и грибами,Chicken and mushroom pie.
130,Пирог с рыбой и рисом,Fish and rice pie.
131,Ватрушка с творогом и изюмом,Cottage cheese and raisin pastry.
132,Пончики с шоколадной глазурью,Donuts with chocolate glaze.
133,Эклер с заварным кремом,Éclair with custard cream.
134,Макаруны с малиной,Macarons with raspberry.
135,Панна-котта с малиновым соусом,Panna cotta with raspberry sauce.
136,Профитроли с шоколадным соусом,Profiteroles with chocolate sauce.
137,Штрудель с яблоками и орехами,Apple and walnut strudel.
138,Кекс с черникой и лимонной глазурью,Blueberry and lemon glaze muffin.
139,Брауни с грецким орехом,Brownie with walnuts.
140,Медовик с грецкими орехами,Honey cake with walnuts.
141,Наполеон с заварным кремом,Napoleon with custard cream.
142,"Торт ""Птичье молоко"" с шоколадом","""Bird’s Milk"" cake with chocolate."
143,"Торт ""Красный бархат"" с кремом из сыра маскарпоне",Red velvet cake with mascarpone cream.
144,"Торт ""Черный лес"" с вишней",Black Forest cake with cherries.
145,"Торт ""Медовый"" с орехами",Honey cake with nuts.
146,"Торт ""Прага"" с шоколадом и орехами","""Prague"" cake with chocolate and nuts."
147,"Торт ""Тирамису"" с кофе и какао",Tiramisu cake with coffee and cocoa.
148,"Торт ""Чизкейк"" с клубникой",Cheesecake with strawberries.
149,"Торт ""Мраморный"" с шоколадом и ванилью",Marble cake with chocolate and vanilla.
150,"Торт ""Лимонный"" с лимонной глазурью",Lemon cake with lemon glaze.
151,Уха из сибирской щуки с кореньями и копчёным салом,Siberian pike fish soup with roots and smoked lard
152,Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella
153,Крем-суп из лесных грибов с трюфельным маслом,Cream of wild mushroom soup with truffle oil
154,Холодный свекольник со сметаной и укропом,Cold beetroot soup with sour cream and dill
155,Бульон из гуся с пельменями и зеленью,Goose broth with dumplings and herbs
156,Карпаччо из лося с пармезаном и рукколой,Elk carpaccio with parmesan and arugula
157,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
158,Брускетта с икрой трески и сливочным сыром,Bruschetta with cod roe and cream cheese
159,Салат с копчёным лососем и мандаринами,Salad with smoked salmon and mandarins
160,Капрезе с черри и бальзамическим соусом,Caprese with cherry tomatoes and balsamic glaze
161,Лосось в медово-горчичном соусе с рисом,Salmon in honey mustard sauce with rice
162,Стейк Рибей на углях с картофельным пюре,Grilled ribeye steak with mashed potatoes
163,Утиная грудка с яблочным пюре и брюссельской капустой,Duck breast with apple purée and Brussels sprouts
164,Филе индейки с грибным соусом и киноа,Turkey fillet with mushroom sauce and quinoa
165,Запечённая форель с лимоном и травами,Baked trout with lemon and herbs
166,Корейка ягнёнка с розмарином и чесночным пюре,Lamb loin with rosemary and garlic mash
167,Паста с морепродуктами в сливочном соусе,Seafood pasta in creamy sauce
168,Рагу из оленины с овощами и красным вином,Venison stew with vegetables and red wine
169,Котлеты из телятины с гречкой и сливочным соусом,Veal cutlets with buckwheat and cream sauce
170,Запечённый карп с имбирём и соевым соусом,Baked carp with ginger and soy sauce
171,Чизкейк с малиновым соусом,Cheesecake with raspberry sauce
172,Шоколадный фондан с ванильным мороженым,Chocolate fondant with vanilla ice cream
173,"Торт ""Медовик"" с карамелью",Honey cake with caramel
174,Клюквенный пирог с мороженым,Cranberry pie with ice cream
175,Миндальное печенье с шоколадной глазурью,Almond cookies with chocolate glaze
176,Тирамису с клубникой,Tiramisu with strawberries
177,Пудинг из манго с кокосовой стружкой,Mango pudding with coconut flakes
178,Ягодный мусс с белым шоколадом,Berry mousse with white chocolate
179,Панна котта с вишнёвым соусом,Panna cotta with cherry sauce
180,Мороженое с фисташками и мёдом,Pistachio and honey ice cream
181,Морс из клюквы и брусники,Lingonberry and cranberry fruit drink
182,Глинтвейн с яблоком и корицей,Mulled wine with apple and cinnamon
183,Смузи из банана и киви,Banana and kiwi smoothie
184,Чай с мятой и лимоном,Mint and lemon tea
186,Сок из свежего ананаса,Fresh pineapple juice
187,"Кофе ""Флэт уайт"" с миндальным молоком",Flat white with almond milk
188,Лимонад с имбирём и мёдом,Ginger and honey lemonade
189,Зелёный чай с жасмином,Jasmine green tea
190,Какао с зефиром,Hot cocoa with marshmallows
191,Креветки в чесночном соусе,Shrimp in garlic sauce
192,Мидии в белом вине с зеленью,Mussels in white wine with herbs
193,Копчёный угорь с соусом терияки,Smoked eel with teriyaki sauce
194,Осетрина запечённая с лимоном и укропом,Baked sturgeon with lemon and dill
195,Кальмары в кляре с соусом тартар,Fried calamari with tartar sauce
196,Лосось на пару с брокколи,Steamed salmon with broccoli
197,Скумбрия с картофелем и луком,Mackerel with potatoes and onions
198,Каракатица с рисом и специями,Cuttlefish with rice and spices
199,Семга на гриле с овощами,Grilled salmon with vegetables
200,Сельдь с картофелем и сметаной,Herring with potatoes and sour cream
201,"Говядина ""Веллингтон"" с грибами",Beef Wellington with mushrooms
202,Баранина в медово-чесночном соусе,Lamb in honey-garlic sauce
203,Свиные рёбрышки барбекю,BBQ pork ribs
204,Фаршированный перец с мясом и рисом,Stuffed bell pepper with meat and rice
205,Курица в сырном соусе,Chicken in cheese sauce
206,Кролик в сливочном соусе с овощами,Rabbit in cream sauce with vegetables
207,Говяжий язык с хреном,Beef tongue with horseradish
208,Колбаски с картофельным пюре,Sausages with mashed potatoes
209,Свиная корейка с яблоками,Pork loin with apples
210,Телячий стейк с бальзамическим соусом,Veal steak with balsamic sauce
211,Фалафель с хумусом и овощами,Falafel with hummus and vegetables
212,Рататуй с базиликом,Ratatouille with basil
213,Тыквенный суп с кокосовым молоком,Pumpkin soup with coconut milk
214,Гречка с грибами и луком,Buckwheat with mushrooms and onions
215,Овощное рагу с нутом,Vegetable stew with chickpeas
216,Лазанья с баклажанами и сыром,Eggplant and cheese lasagna
217,Картофельные драники с соусом,Potato pancakes with sauce
218,Кускус с овощами и оливковым маслом,Couscous with vegetables and olive oil
219,Брокколи на пару с сыром,Steamed broccoli with cheese
220,Запечённые овощи с травами,Baked vegetables with herbs
221,Спагетти с мидиями и чесноком,Spaghetti with mussels and garlic
222,Ризотто с трюфелями,Truffle risotto
223,Паста с песто и кедровыми орешками,Pasta with pesto and pine nuts
224,Лазанья с шпинатом и сыром,Spinach and cheese lasagna
225,Феттучини с грибами и сливками,Fettuccine with mushrooms and cream
226,Паста с томатами и базиликом,Pasta with tomatoes and basil
227,Ризотто с морепродуктами,Seafood risotto
228,Лингвини с креветками и лимоном,Linguine with shrimp and lemon
229,Паста с сыром и чёрным перцем,Pasta with cheese and black pepper
230,Ризотто с шафраном и пармезаном,Saffron risotto with parmesan
231,"Салат ""Цезарь"" с курицей",Caesar salad with chicken
